JobID,Job_Title,Salary_estimate_range,Min_Salary_Estimate,Max_Salary_Estimate,Location
10313,Data Analyst,$27K-$52K ,27000,52000,"Jersey City, NJ"
10314,Data Analyst,$77K-$132K ,77000,132000,"Jersey City, NJ"
10315,Data Analyst,$48K-$96K ,48000,96000,"Iselin, NJ"
10316,Data Analyst,$44K-$82K ,44000,82000,"Carrollton, TX"
10317,Business Data Analyst,$28K-$52K ,28000,52000,"Columbus, OH"
10318,Sr. Data Scientist,$28K-$52K ,28000,52000,"Columbus, OH"
10319,Sr. Data Analyst,$57K-$100K ,57000,100000,"Aurora, CO"
10320,Sr. Data Analyst,$35K-$45K ,35000,45000,"Pasadena, CA"
10321,Sr. Data Analyst,$60K-$124K ,60000,124000,"San Diego, CA"
10322,Sr. Data Analyst,$58K-$93K ,58000,93000,"Union City, CA"
10323,Sr. Data Analyst,$45K-$78K ,45000,78000,"Scottsdale, AZ"
10324,Data Analyst,$59K-$85K ,59000,85000,"Manhasset, NY"
10325,Business Data Analyst,$84K-$90K ,84000,90000,"Manhasset, NY"
10326,Data Analyst,$50K-$86K ,50000,86000,"Charlotte, NC"
10327,Data Analyst,$89K-$151K ,89000,151000,"Palo Alto, CA"
10328,Data Analyst,$35K-$67K ,35000,67000,"Redmond, WA"
10329,Data Analyst,$35K-$67K ,35000,67000,"Redmond, WA"
10330,Data Analyst,$55K-$101K ,55000,101000,"Redmond, WA"
10331,Data Analyst,$55K-$101K ,55000,101000,"Redmond, WA"
10332,Sr. Data Analyst,$55K-$101K ,55000,101000,"Redmond, WA"
10333,Data Analyst,$42K-$66K ,42000,66000,"Culver City, CA"
10334,Sr. Data Analyst,$51K-$93K ,51000,93000,"Santa Clara, CA"
10335,Sr. Data Analyst,$58K-$93K ,58000,93000,"Santa Clara, CA"
10336,Sr. Data Analyst,$63K-$116K ,63000,116000,"Santa Clara, CA"
10337,Data Analyst,$69K-$127K ,69000,127000,"Santa Clara, CA"
10338,Data Analyst,$69K-$127K ,69000,127000,"Santa Clara, CA"
10339,Sr. Data Analyst,$69K-$127K ,69000,127000,"Santa Clara, CA"
10340,Data Analyst,$89K-$151K ,89000,151000,"Santa Clara, CA"
10341,Financial Data Analyst,$89K-$151K ,89000,151000,"Santa Clara, CA"
10342,Sr. Data Scientist,$89K-$151K ,89000,151000,"Santa Clara, CA"
10343,Business Data Analyst,$30K-$53K ,30000,53000,"Plano, TX"
10344,Data Analyst,$60K-$124K ,60000,124000,"San Diego, CA"
10345,Lead Data Analyst,$97K-$129K ,97000,129000,"Chicago, IL"
